population,score
honest,0.744140625
honest,0.7265625
honest,0.73046875
honest,0.736328125
honest,0.748046875
honest,0.724609375
honest,0.72265625
honest,0.716796875
honest,0.75
honest,0.744140625
honest,0.73828125
honest,0.732421875
honest,0.734375
honest,0.71484375
honest,0.744140625
honest,0.73046875
honest,0.74609375
honest,0.720703125
honest,0.71875
honest,0.712890625
honest,0.75
honest,0.7365384615384616
honest,0.7480769230769231
honest,0.7384615384615385
honest,0.7442307692307691
honest,0.7423076923076923
honest,0.7346153846153847
honest,0.7307692307692308
honest,0.7326923076923078
honest,0.721153846153846
honest,0.7461538461538462
honest,0.7269230769230769
honest,0.7173076923076923
honest,0.7153846153846154
honest,0.7288461538461538
honest,0.7423076923076923
honest,0.725
honest,0.7211538461538461
honest,0.7134615384615385
honest,0.7230769230769231
honest,0.717741935483871
honest,0.7137096774193549
honest,0.7338709677419355
honest,0.7116935483870968
honest,0.7157258064516129
honest,0.7318548387096774
honest,0.75
honest,0.747983870967742
honest,0.7459677419354839
honest,0.7278225806451613
honest,0.7379032258064516
honest,0.7237903225806451
honest,0.7358870967741935
honest,0.7459677419354838
honest,0.7258064516129032
honest,0.7419354838709677
honest,0.7399193548387097
honest,0.7217741935483871
honest,0.7298387096774194
honest,0.719758064516129
honest,0.72265625
honest,0.734375
honest,0.716796875
honest,0.7421875
honest,0.73046875
honest,0.74609375
honest,0.716796875
honest,0.712890625
honest,0.71875
honest,0.724609375
honest,0.728515625
honest,0.748046875
honest,0.736328125
honest,0.7265625
honest,0.720703125
honest,0.73828125
honest,0.732421875
honest,0.740234375
honest,0.75
honest,0.744140625
honest,0.7462121212121212
honest,0.7386363636363636
honest,0.7443181818181819
honest,0.7178030303030303
honest,0.7140151515151515
honest,0.7443181818181819
honest,0.7272727272727273
honest,0.7329545454545454
honest,0.7310606060606061
honest,0.75
honest,0.7291666666666666
honest,0.740530303030303
honest,0.7481060606060606
honest,0.7159090909090909
honest,0.7253787878787878
honest,0.7348484848484849
honest,0.7196969696969697
honest,0.7367424242424243
honest,0.7234848484848485
honest,0.7215909090909091
honest,0.7407407407407407
honest,0.7240740740740741
honest,0.7148148148148148
honest,0.7185185185185186
honest,0.7314814814814815
honest,0.7481481481481481
honest,0.7277777777777777
honest,0.75
honest,0.7462962962962962
honest,0.7259259259259259
honest,0.7166666666666667
honest,0.7296296296296296
honest,0.7222222222222222
honest,0.7388888888888888
honest,0.737037037037037
honest,0.7444444444444445
honest,0.7333333333333334
honest,0.7351851851851852
honest,0.7203703703703703
honest,0.7425925925925926
honest,0.75
honest,0.7272727272727272
honest,0.7255244755244755
honest,0.7430069930069929
honest,0.7395104895104895
honest,0.729020979020979
honest,0.7220279720279721
honest,0.736013986013986
honest,0.7185314685314685
honest,0.7412587412587412
honest,0.7167832167832168
honest,0.7220279720279721
honest,0.7342657342657343
honest,0.7465034965034965
honest,0.7482517482517482
honest,0.7325174825174825
honest,0.7377622377622377
honest,0.7307692307692308
honest,0.7237762237762237
honest,0.7447552447552448
honest,0.7384615384615385
honest,0.7326923076923078
honest,0.7153846153846154
honest,0.7307692307692307
honest,0.7211538461538461
honest,0.7480769230769231
honest,0.75
honest,0.7134615384615385
honest,0.725
honest,0.7423076923076923
honest,0.7461538461538462
honest,0.7173076923076923
honest,0.7192307692307691
honest,0.7230769230769231
honest,0.7365384615384616
